iau_abbreviation,resource_filename,source_url,local_path,byte_size,sha256,acquired_at_utc
GRU,gru.txt,https://iauarchive.eso.org/static/public/constellations/txt/gru.txt,raw/gru.txt,279,8422cce28f1ec990edeb6b11b710a08a04642af52a28b9c648cf56d8618342f5,2026-09-15T23:38:17+00:00
HER,her.txt,https://iauarchive.eso.org/static/public/constellations/txt/her.txt,raw/her.txt,1023,235853724dcff8efc366721c224373e8edff11dd54e10655557cbb3f66df6273,2026-09-15T23:38:17+00:00
HOR,hor.txt,https://iauarchive.eso.org/static/public/constellations/txt/hor.txt,raw/hor.txt,713,d8a6f536ca0fbaa789867a1b33b7129f085d5bff4d30dda0ea1f186687335ac4,2026-09-15T23:38:17+00:00
HYA,hya.txt,https://iauarchive.eso.org/static/public/constellations/txt/hya.txt,raw/hya.txt,1209,4fcf4ea86510b4ca8c58410f217896747cdbc124ef0e4e6d1bff78a886082fa9,2026-09-15T23:38:17+00:00
HYI,hyi.txt,https://iauarchive.eso.org/static/public/constellations/txt/hyi.txt,raw/hyi.txt,434,aed47cece5d79f5b7fade266d2dd9fe5653ebf2c6680ac0dfe114b089e437176,2026-09-15T23:38:17+00:00
IND,ind.txt,https://iauarchive.eso.org/static/public/constellations/txt/ind.txt,raw/ind.txt,374,ba77dbe94ab60146d19a4014eabd3ac9ae8a0047ec4f9d0dd84df33c0d791e48,2026-09-15T23:38:17+00:00
LAC,lac.txt,https://iauarchive.eso.org/static/public/constellations/txt/lac.txt,raw/lac.txt,527,e271d0b1c1acbf128aaabd4dd5d9de56dd34ea481266827cafd27f3a2cd82f54,2026-09-15T23:38:17+00:00
LEO,leo.txt,https://iauarchive.eso.org/static/public/constellations/txt/leo.txt,raw/leo.txt,620,f8b70c2fe59853077021760018d089639faa0d30a1eccf783d2d638b60c125ba,2026-09-15T23:38:17+00:00
LEP,lep.txt,https://iauarchive.eso.org/static/public/constellations/txt/lep.txt,raw/lep.txt,279,971cbcddb765c4fe980a226e1e189e87a30b12b1b3fc5007855eecda7a600dda,2026-09-15T23:38:17+00:00
LIB,lib.txt,https://iauarchive.eso.org/static/public/constellations/txt/lib.txt,raw/lib.txt,434,33a22d542e4388ded71d263e67beb81b96f7a78d7206d601f73ead606d002bd6,2026-09-15T23:38:17+00:00
LMI,lmi.txt,https://iauarchive.eso.org/static/public/constellations/txt/lmi.txt,raw/lmi.txt,527,21960188b2aabff3fd7ca8d428afb5fc7313f2b3081158b0908d81f00d786863,2026-09-15T23:38:17+00:00
LUP,lup.txt,https://iauarchive.eso.org/static/public/constellations/txt/lup.txt,raw/lup.txt,434,ed5c3bb0323aaa989b2280904d30b6a51b9ff124384845b404dd2a96189eaebd,2026-09-15T23:38:17+00:00
LYN,lyn.txt,https://iauarchive.eso.org/static/public/constellations/txt/lyn.txt,raw/lyn.txt,713,b870e8328880371091f4fcf78a3302a87cd3c4568ac55440504b87fc9c19cb14,2026-09-15T23:38:17+00:00
LYR,lyr.txt,https://iauarchive.eso.org/static/public/constellations/txt/lyr.txt,raw/lyr.txt,527,c781ece11ae8403a5a120aa50f2a7c93fccf510ef51eb9e7a605f859ffbc8389,2026-09-15T23:38:17+00:00
MEN,men.txt,https://iauarchive.eso.org/static/public/constellations/txt/men.txt,raw/men.txt,310,6c032cec48ad2fbbfa7c140020c1b86dac45a025b97b1122cc6b9f0d39aa0573,2026-09-15T23:38:17+00:00
MIC,mic.txt,https://iauarchive.eso.org/static/public/constellations/txt/mic.txt,raw/mic.txt,155,66dddeb89d79b0444ab5bbafd385ca26c9def932db7b8b598894565bfab314bf,2026-09-15T23:38:17+00:00
MON,mon.txt,https://iauarchive.eso.org/static/public/constellations/txt/mon.txt,raw/mon.txt,589,9b33e4effff870c5bb93bd2cd0a82ab73243b0abb3a30cf0a221e40243459a79,2026-09-15T23:38:17+00:00
MUS,mus.txt,https://iauarchive.eso.org/static/public/constellations/txt/mus.txt,raw/mus.txt,279,e62dcad536e6f6f1860b591f07b83561c2b910fed2e9f269b09384293319e7e5,2026-09-15T23:38:17+00:00
NOR,nor.txt,https://iauarchive.eso.org/static/public/constellations/txt/nor.txt,raw/nor.txt,372,902bd23ecd9b0171db11f6781478f384a4b8f803efc34746ea0153ed576cadbb,2026-09-15T23:38:17+00:00
OCT,oct.txt,https://iauarchive.eso.org/static/public/constellations/txt/oct.txt,raw/oct.txt,434,3ab1dd4ac91fb7fcd1b5325ee8c5a32431d1ef01cf39144ec7d40e4441f13ef7,2026-09-15T23:38:17+00:00
OPH,oph.txt,https://iauarchive.eso.org/static/public/constellations/txt/oph.txt,raw/oph.txt,1210,3f806f1914c0505d60cfca8a51aac832b295186bb8c76b59598a533bee53fb8d,2026-09-15T23:38:17+00:00
ORI,ori.txt,https://iauarchive.eso.org/static/public/constellations/txt/ori.txt,raw/ori.txt,868,8454cd1d863b71902e7fd28a985096c15b970c50e37a905256e3841a1521a35a,2026-09-15T23:38:17+00:00
