bayer_code,bayer,greek,suffix,con,proper,ra_h,dec_deg,mag,hyg_id,hip,hd,hr
Alp,α Per,α,,Per,Mirfak,3.405378,49.86118,1.79,15824,15863,20902,1017
Bet,β Per,β,,Per,Algol,3.136148,40.955648,2.09,14540,14576,19356,936
Alp,α Phe,α,,Phe,Ankaa,0.438056,-42.305981,2.4,2076,2081,2261,99
Bet,β Phe,β,,Phe,,1.101407,-46.718414,3.32,5154,5165,6595,322
Alp,α Pic,α,,Pic,,6.803194,-61.941391,3.24,32521,32607,50241,2550
Bet,β Pic,β,,Pic,,5.788079,-51.066514,3.85,27253,27321,39060,2020
Alp,α PsA,α,,PsA,Fomalhaut,22.960838,-29.622236,1.17,113008,113368,216956,8728
Bet,β PsA,β,,PsA,,22.52509,-32.346073,4.29,110841,111188,213398,8576
Alp,α Psc,α,,Psc,Alrescha,2.034117,2.763759,3.82,9467,9487,12446,595
Bet,β Psc,β,,Psc,Fumalsamakah,23.064615,3.820045,4.48,113529,113889,217891,8773
Alp,α Pyx,α,,Pyx,,8.726539,-33.186385,3.68,42709,42828,74575,3468
Bet,β Pyx,β,,Pyx,,8.668373,-35.308352,3.97,42396,42515,74006,3438
Alp,α Ret,α,,Ret,,4.240404,-62.473858,3.33,19730,19780,27256,1336
Bet,β Ret,β,,Ret,,3.736593,-64.806903,3.84,17398,17440,23817,1175
Alp,α Scl,α,,Scl,,0.976766,-29.357449,4.3,4567,4577,5737,280
Bet,β Scl,β,,Scl,,23.549512,-37.818268,4.38,115865,116231,221507,8937
Alp,α Sco,α,,Sco,Antares,16.490128,-26.432002,1.06,80519,80763,148478,6134
Bet1,β1 Sco,β,1,Sco,Acrab,16.090619994,-19.805452778,2.62,,78820,144217,5984
Bet2,β2 Sco,β,2,Sco,,16.090714244,-19.801904333,4.92,,78821,144218,5985
Alp,α Sct,α,,Sct,,18.586785,-8.244073,3.85,90835,91117,171443,6973
Bet,β Sct,β,,Sct,,18.786242,-4.747867,4.22,91888,92175,173764,7063
Alp,α Ser,α,,Ser,Unukalhai,15.737798,6.425627,2.63,76835,77070,140573,5854
Bet,β Ser,β,,Ser,,15.769793,15.421826,3.65,76997,77233,141003,5867
Alp,α Sex,α,,Sex,,10.1323,-0.371637,4.48,49500,49641,87887,3981
Bet,β Sex,β,,Sex,,10.504855,-0.637026,5.08,51290,51437,90994,4119
Alp,α Sge,α,,Sge,Sham,19.668275,18.01389,4.39,96450,96757,185758,7479
Bet,β Sge,β,,Sge,,19.68415,17.476041,4.39,96530,96837,185958,7488
Alp,α Sgr,α,,Sgr,Rukbat,19.398103,-40.61594,3.96,95052,95347,181869,7348
Bet1,β1 Sgr,β,1,Sgr,Arkab Prior,19.377305337,-44.458958385,4.01,,95241,181454,7337
Bet2,β2 Sgr,β,2,Sgr,Arkab Posterior,19.386982625,-44.799779197,4.29,,95294,181623,7343
Alp,α Tau,α,,Tau,Aldebaran,4.598677,16.509301,0.87,21368,21421,29139,1457
Bet,β Tau,β,,Tau,Elnath,5.438198,28.60745,1.65,25364,25428,35497,1791
Alp,α Tel,α,,Tel,,18.449561,-45.968459,3.49,90143,90422,169467,6897
Alp,α TrA,α,,TrA,Atria,16.811077,-69.027715,1.91,82022,82273,150798,6217
Bet,β TrA,β,,TrA,,15.919083,-63.430727,2.83,77716,77952,141891,5897
Alp,α Tri,α,,Tri,Mothallah,1.884696,29.578829,3.42,8777,8796,11443,544
Bet,β Tri,β,,Tri,,2.159058,34.987297,3,10041,10064,13161,622
Alp,α Tuc,α,,Tuc,,22.308371,-60.259587,2.87,109784,110130,211416,8502
Bet1,β1 Tuc,β,1,Tuc,,0.525741917,-62.958218611,4.37,,2484,2884,126
Bet2,β2 Tuc,β,2,Tuc,,0.525950639,-62.965592778,4.54,,2487,2885,
Bet3,β3 Tuc,β,3,Tuc,,0.545529167,-63.031500000,5.09,,,,
Alp,α UMa,α,,UMa,Dubhe,11.062155,61.751033,1.81,53905,54061,95689,4301
Bet,β UMa,β,,UMa,Merak,11.030677,56.382427,2.34,53754,53910,95418,4295
Alp,α UMi,α,,UMi,Polaris,2.52975,89.264109,1.97,11734,11767,8890,424
Bet,β UMi,β,,UMi,Kochab,14.845105,74.155505,2.07,72380,72607,131873,5563
Alp,α Vir,α,,Vir,Spica,13.419883,-11.161322,0.98,65269,65474,116658,5056
Bet,β Vir,β,,Vir,Zavijava,11.844922,1.764718,3.59,57584,57757,102870,4540
Alp,α Vol,α,,Vol,,9.040777,-66.396076,4,44254,44382,78045,3615
Bet,β Vol,β,,Vol,,8.428951,-66.13689,3.77,41195,41312,71878,3347
Alp,α Vul,α,,Vul,Anser,19.478427,24.664905,4.44,95473,95771,183439,7405
