proper,bayer,con,ra_h,dec_deg,catalog_v,representative_vmax,brightness_basis,in_alpha_beta_layer,hyg_id,hip,hd,hr,best_instant_utc,best_date,iso,mag_class,new_non_alpha_beta
Mirzam,Bet,CMa,6.378329,-17.955918,1.98,1.98,HYG v4.1 catalog V (stable baseline),yes,30251,30324,44743,2294,2026-02-07 00:36,2026-02-07,2026-W06-6,2,no
Alphard,Alp,Hya,9.45979,-8.658603,1.99,1.99,HYG v4.1 catalog V (stable baseline),yes,46259,46390,81797,3748,2026-03-28 04:24,2026-03-28,2026-W13-6,2,no
Algieba,Gam-1,Leo,10.332873,19.841489,2.01,2.01,HYG v4.1 catalog V (stable baseline),no,50440,50583,89484,4057,2026-04-11 12:20,2026-04-12,2026-W15-7,2,yes
Hamal,Alp,Ari,2.119555,23.462423,2.01,2.01,HYG v4.1 catalog V (stable baseline),yes,9861,9884,12929,617,2026-12-09 22:10,2026-12-10,2026-W50-4,2,no
Diphda,Bet,Cet,0.72649,-17.986605,2.04,2.04,HYG v4.1 catalog V (stable baseline),yes,3413,3419,4128,188,2026-11-20 11:24,2026-11-20,2026-W47-5,2,no
Nunki,Sig,Sgr,18.92109,-26.296722,2.05,2.05,HYG v4.1 catalog V (stable baseline),no,92564,92855,175191,7121,2026-08-19 13:21,2026-08-20,2026-W34-4,2,yes
Menkent,The,Cen,14.111395,-36.369954,2.06,2.06,HYG v4.1 catalog V (stable baseline),no,68714,68933,123139,5288,2026-06-08 12:15,2026-06-09,2026-W24-2,2,yes
Alpheratz,Alp,And,0.139791,29.090432,2.07,2.07,HYG v4.1 catalog V (stable baseline),yes,676,677,358,15,2026-11-11 22:29,2026-11-12,2026-W46-4,2,no
Kochab,Bet,UMi,14.845105,74.155505,2.07,2.07,HYG v4.1 catalog V (stable baseline),yes,72380,72607,131873,5563,2026-06-19 02:44,2026-06-19,2026-W25-5,2,no
Mirach,Bet,And,1.162194,35.620558,2.07,2.07,HYG v4.1 catalog V (stable baseline),yes,5436,5447,6860,337,2026-11-26 16:00,2026-11-27,2026-W48-5,2,no
Saiph,Kap,Ori,5.795941,-9.669605,2.07,2.07,HYG v4.1 catalog V (stable baseline),no,27298,27366,38771,2004,2026-01-29 09:54,2026-01-29,2026-W05-4,2,yes
Tiaki,Bet,Gru,22.711115,-46.884577,2.07,2.07,HYG v4.1 catalog V (stable baseline),yes,111768,112122,214952,8636,2026-10-21 00:51,2026-10-21,2026-W43-3,2,no
Rasalhague,Alp,Oph,17.582241,12.560035,2.08,2.08,HYG v4.1 catalog V (stable baseline),yes,85769,86032,159561,6556,2026-07-29 10:46,2026-07-29,2026-W31-3,2,no
Algol,Bet,Per,3.136148,40.955648,2.09,2.09,HYG v4.1 catalog V (stable baseline),yes,14540,14576,19356,936,2026-12-23 16:59,2026-12-24,2026-W52-4,2,no
Almach,Gam-1,And,2.064984,42.329725,2.1,2.1,HYG v4.1 catalog V (stable baseline),no,9618,9640,12533,603,2026-12-09 04:16,2026-12-09,2026-W50-3,2,yes
Denebola,Bet,Leo,11.817663,14.57206,2.14,2.14,HYG v4.1 catalog V (stable baseline),yes,57459,57632,102647,4534,2026-05-05 04:52,2026-05-05,2026-W19-2,2,no
Cih,Gam,Cas,0.945143,60.71674,2.15,2.15,HYG v4.1 catalog V (stable baseline),no,4417,4427,5394,264,2026-11-23 14:20,2026-11-24,2026-W48-2,2,yes
,Gam,Cen,12.691971,-48.959888,2.2,2.2,HYG v4.1 catalog V (stable baseline),no,61739,61932,110304,4819,2026-05-18 13:53,2026-05-19,2026-W21-2,2,yes
Aspidiske,Iot,Car,9.284838,-59.275229,2.21,2.21,HYG v4.1 catalog V (stable baseline),no,45425,45556,80404,3699,2026-03-25 07:13,2026-03-25,2026-W13-3,2,yes
Naos,Zet,Pup,8.059737,-40.003148,2.21,2.21,HYG v4.1 catalog V (stable baseline),no,39318,39429,66811,3165,2026-03-05 06:17,2026-03-05,2026-W10-4,2,yes
Alphecca,Alp,CrB,15.578128,26.714693,2.22,2.22,HYG v4.1 catalog V (stable baseline),yes,76035,76267,139006,5793,2026-06-29 16:46,2026-06-30,2026-W27-2,2,no
Mizar,Zet,UMa,13.398747,54.925362,2.23,2.23,HYG v4.1 catalog V (stable baseline),no,65173,65378,116656,5054,2026-05-29 02:23,2026-05-29,2026-W22-5,2,yes
Sadr,Gam,Cyg,20.370473,40.256679,2.23,2.23,HYG v4.1 catalog V (stable baseline),no,100128,100453,194093,7796,2026-09-12 11:25,2026-09-12,2026-W37-6,2,yes
Suhail,Lam,Vel,9.133268,-43.432589,2.23,2.23,HYG v4.1 catalog V (stable baseline),no,44689,44816,78647,3634,2026-03-22 19:17,2026-03-23,2026-W13-1,2,yes
Eltanin,Gam,Dra,17.943437,51.488895,2.24,2.24,HYG v4.1 catalog V (stable baseline),no,87561,87833,164058,6705,2026-08-04 00:46,2026-08-04,2026-W32-2,2,yes
Schedar,Alp,Cas,0.675116,56.537331,2.24,2.24,HYG v4.1 catalog V (stable baseline),yes,3172,3179,3712,168,2026-11-19 17:42,2026-11-20,2026-W47-5,2,no
Mintaka,Del,Ori,5.533445,-0.299092,2.25,2.25,HYG v4.1 catalog V (stable baseline),no,25865,25930,36486,1852,2026-01-25 14:38,2026-01-26,2026-W05-1,2,yes
Caph,Bet,Cas,0.152887,59.14978,2.28,2.28,HYG v4.1 catalog V (stable baseline),yes,744,746,432,21,2026-11-12 03:07,2026-11-12,2026-W46-4,2,no
Dschubba,Del,Sco,16.005557,-22.62171,2.29,2.29,HYG v4.1 catalog V (stable baseline),no,78165,78401,143275,5953,2026-07-05 21:52,2026-07-06,2026-W28-1,2,yes
,Eps,Cen,13.664796,-53.466394,2.29,2.29,HYG v4.1 catalog V (stable baseline),no,66447,66657,118716,5132,2026-06-02 00:07,2026-06-02,2026-W23-2,2,yes
Larawag,Eps,Sco,16.83608,-34.293232,2.29,2.29,HYG v4.1 catalog V (stable baseline),no,82144,82396,151680,6241,2026-07-18 03:48,2026-07-18,2026-W29-6,2,yes
,Alp,Lup,14.698823,-47.3882,2.3,2.3,HYG v4.1 catalog V (stable baseline),yes,71634,71860,129056,5469,2026-06-17 00:06,2026-06-17,2026-W25-3,2,no
,Eta,Cen,14.591786,-42.157824,2.33,2.33,HYG v4.1 catalog V (stable baseline),no,71125,71352,127972,5440,2026-06-15 11:02,2026-06-15,2026-W25-1,2,yes
Merak,Bet,UMa,11.030677,56.382427,2.34,2.34,HYG v4.1 catalog V (stable baseline),yes,53754,53910,95418,4295,2026-04-22 18:54,2026-04-23,2026-W17-4,2,no
Izar,Eps,Boo,14.749784,27.074222,2.35,2.35,HYG v4.1 catalog V (stable baseline),no,71879,72105,129988,5505,2026-06-17 17:45,2026-06-18,2026-W25-4,2,yes
Enif,Eps,Peg,21.736433,9.875011,2.38,2.38,HYG v4.1 catalog V (stable baseline),no,106972,107315,206778,8308,2026-10-05 05:47,2026-10-05,2026-W41-1,2,yes
,Kap,Sco,17.708132,-39.029983,2.39,2.39,HYG v4.1 catalog V (stable baseline),no,86403,86670,160578,6580,2026-07-31 09:15,2026-07-31,2026-W31-5,2,yes
Ankaa,Alp,Phe,0.438056,-42.305981,2.4,2.4,HYG v4.1 catalog V (stable baseline),yes,2076,2081,2261,99,2026-11-16 07:24,2026-11-16,2026-W47-1,2,no
Phecda,Gam,UMa,11.897168,53.69476,2.41,2.41,HYG v4.1 catalog V (stable baseline),no,57828,58001,103287,4554,2026-05-06 10:29,2026-05-06,2026-W19-3,2,yes
Sabik,Eta,Oph,17.172968,-15.72491,2.43,2.43,HYG v4.1 catalog V (stable baseline),no,83755,84012,155125,6378,2026-07-23 05:13,2026-07-23,2026-W30-4,2,yes
Scheat,Bet,Peg,23.062901,28.082789,2.44,2.44,HYG v4.1 catalog V (stable baseline),yes,113521,113881,217906,8775,2026-10-26 13:50,2026-10-27,2026-W44-2,2,no
Alderamin,Alp,Cep,21.30963,62.585573,2.45,2.45,HYG v4.1 catalog V (stable baseline),yes,104861,105199,203280,8162,2026-09-28 04:06,2026-09-28,2026-W40-1,2,no
Aludra,Eta,CMa,7.401584,-29.303104,2.45,2.45,HYG v4.1 catalog V (stable baseline),no,35806,35904,58350,2827,2026-02-22 18:20,2026-02-23,2026-W09-1,2,yes
Markeb,Kap,Vel,9.368562,-55.010668,2.47,2.47,HYG v4.1 catalog V (stable baseline),no,45809,45941,81188,3734,2026-03-26 16:20,2026-03-27,2026-W13-5,2,yes
Aljanah,Eps,Cyg,20.770178,33.970256,2.48,2.48,HYG v4.1 catalog V (stable baseline),no,102157,102488,197989,7949,2026-09-19 03:55,2026-09-19,2026-W38-6,2,yes
Markab,Alp,Peg,23.079348,15.205264,2.49,2.49,HYG v4.1 catalog V (stable baseline),yes,113603,113963,218045,8781,2026-10-26 20:00,2026-10-27,2026-W44-2,2,no
