category,object,ra_h,dec_deg,in_milky_way
bayer,α,19.157889,-37.904472,no
bayer,β,19.167139,-39.340694,no
bayer,α,15.578139,26.714694,no
bayer,β,15.463806,29.105694,no
bayer,α,12.140222,-24.728778,no
bayer,β,12.573111,-23.39675,no
bayer,α,10.99625,-18.298778,no
bayer,β,11.194306,-22.825833,no
bayer,α,12.443306,-63.099056,no
bayer,β,12.795333,-59.688778,no
bayer,α,20.690528,45.280333,yes
bayer,β,19.512028,27.959694,yes
bayer,α,20.660639,15.912056,no
bayer,β,20.625833,14.595083,no
bayer,α,4.566611,-55.045,no
bayer,β,5.560417,-62.489861,no
bayer,α,14.073139,64.375833,no
bayer,β,17.507222,52.301361,no
bayer,α,21.263722,5.247833,no
bayer,β,21.381556,6.811139,no
bayer,α,1.628583,-57.23675,no
bayer,β,5.130833,-5.086444,no
bayer,α,3.201194,-28.986806,no
bayer,β,2.818167,-32.405889,no
bayer,α,7.576667,31.888278,no
bayer,β,7.75525,28.026194,no
bayer,α,22.137222,-46.960972,no
bayer,β,22.711111,-46.884583,no
bayer,α,17.244139,14.390333,no
bayer,β,16.503667,21.489611,no
bayer,α,4.233361,-42.294361,no
bayer,β,2.979944,-64.071278,no
bayer,α,9.459806,-8.658611,no
bayer,β,11.881806,-33.908139,no
bayer,α,1.9795,-61.569861,no
bayer,β,0.429194,-77.25425,no
bayer,α,20.626111,-47.2915,no
bayer,β,20.9135,-58.454111,no
bayer,α,22.521528,50.282444,yes
bayer,β,22.392667,52.229028,yes
bayer,α,10.139528,11.967194,no
bayer,β,11.817667,14.572056,no
bayer,α,10.888528,34.214861,no
bayer,β,10.464722,36.707222,no
bayer,α,5.5455,-17.822306,no
bayer,β,5.47075,-20.759444,no
bayer,α,14.847972,-16.041778,no
bayer,β,15.283444,-9.382917,no
bayer,α,14.698833,-47.388194,no
bayer,β,14.975528,-43.133972,no
bayer,α,9.350917,34.392556,no
bayer,β,9.314083,36.802889,no
bayer,α,18.615639,38.783694,no
bayer,β,18.834667,33.362667,no
bayer,α,6.170611,-74.752528,no
bayer,β,5.045278,-71.314333,no
bayer,α,20.832806,-33.779667,no
bayer,β,20.866306,-33.177972,no
bayer,α,7.687444,-9.551083,no
bayer,β,6.480278,-7.033056,yes
bayer,α,12.619722,-69.135528,no
bayer,β,12.771361,-68.108111,no
bayer,α,21.078611,-77.023778,no
bayer,β,22.767583,-81.381611,no
bayer,α,17.58225,12.560028,no
bayer,β,17.724556,4.567306,no
bayer,α,5.919528,7.407056,no
bayer,β,5.242306,-8.201639,no
bayer,α,20.427444,-56.735083,no
bayer,β,20.749306,-66.203222,no
bayer,α,23.079361,15.20525,no
bayer,β,23.062917,28.082778,no
bayer,α,3.405389,49.861167,yes
bayer,β,3.136139,40.955639,no
bayer,α,0.438056,-42.306111,no
bayer,β,1.101389,-46.7185,no
